120below	2012	Short, winter-themed adventure game	371
4dos	8.00	4DOS replaces the default command interpreter that are	65238
adlibtrk	2.3.57	Adlib Tracker, supports OPL2/OPL3 FM, 9 channels and up to 255 instruments	44906
adplay	1.6a	multiple formats music player using OPL2/3 audio	59389
amb	20201223	AMB (Ancient Machine Book) book reader	58781
ansimat	0.93	graphical viewer of ANSI files, can also convert ANSI files to graphic files or FLiC animations	4274
append	5.0-0.6	enables programs to open files in specified directories as if they were in current dir	9748
arj	2.78	The open-source ARJ archiver.	40009
assign	1.4	Assign a drive letter to a different drive	59266
atari800	2.2.0	A free and portable Atari800/XL/XE/5200 emulator	62750
attrib	2.1	Display and set file attributes	57698
augos	4	computer version of the Go game	65172
b64	0.06R	Utility that implements the Base64	25510
bcc	0.16.2	Bruce's C compiler is a simple C compiler that produces 8086 assembler.	10723
biew	6.10	Biew is a binary/hexadecimal viewer/editor.	38441
bladeenc	0.94.1	Blade's MP3 Encoder generates MP3 files from WAV/AIFF/RAW data	17970
blocek	1.4	A graphical text editor with unicode and pictures formats support	7404
bmp2png	1.62	command-line tool that converts BMP images to PNG (and vice versa)	15359
bolitare	0.62a	A Freecell clone for DOS	5587
boom	2.02	A GPL port of the Doom source code. Packaged with FreeDoom for a complete gameplaying experience.	37255
bootfix	1.4	Bootfix is a boot sector testing and fixing tool.	34960
bsum	1.1	tiny tool that computes the BSD checksum of files	27065
btitanic	1	Text based Infocom style adventure game.	51654
bwbasic	2.60	The Bywater BASIC interpreter	42502
bz2	1.0.5	BZIP2 compression program	4151
cabext	1.4	CABExtract can extract files from a variety of Microsoft CAB formats.	58327
cache	1.0	disable/enable your processor's cache	61888
calc387	28Jan96	tiny (1K) command-line calculator, requires a 387+ FPU	16860
cdogs	1.06	C-DOGS is a sequel of Cyberdogs (walk around nuking bad guys)	38766
chicken2	2.0	shooting game involving chickens	58301
chip8	2.2.0	CHIP-8 Emulator bundled with several CHIP-8 games.	50623
chkdsk	0.9.2 beta	Check the disk for errors.	25796
choice	4.4	Present a choice to the user and wait for a key (uses kitten instead of cats)	65030
clamav	0.95.3/9047/Wed Feb 25 21:59:41 2009	ClamAV scans files and directories for viruses	51575
clamdb	51	The Virus database for ClamAV	31025
codebrk	1.0	text-mode implementation of the master mind logic game, many features	26486
command	0.84 pre 2	The FreeDOS Command Shell	32543
comp	1.04	Compare files and display their differences	63525
cpidos	3.0	Package of DISPLAY-type, UPX-compressed CPI files with various DOS codepages.	37268
cpied	1.3c	a GUI-driven CPI font editor	3964
cpp2ccmt	0.5	A C++ to C comment converter.	45410
crc32	20040215	calculates the standard 32-bit CRC checksum of files	31175
crynwr	2006-09-02	A collection of free packet drivers from the Crynwr company	6862
csphinx	2.0	Sphinx C-- is a compiler half-way between C and ASM	64737
ctmouse	2.1b4	tiny mouse driver that supports many protocols of serial and PS/2 mice	42498
ctorrent	dnh3.2	CTorrent is a BitTorrent client implemented in C++ to be lightweight and quick.	16886
curl	7.21.6	Curl is a command line tool for transfering data specified with URL syntax.	2557
cwsdpmi	7	32-bit DPMI DOS extender designed for DJGPP.	62352
cyberdog	1.0	walk around nuking bad guys	31012
daa2iso	0.1.7e	A tool for converting single and multipart DAA and GBI images to the original ISO format.	12706
ddlink	1.6	small & simple PC file transfer program (COM, LPT, ethernet)	16379
debug	1.25	A program testing and editing tool	44019
defrag	1.32	Defragmentation utility.	16778
deltree	1.02g	delete files and directories with all included files and subdirectories	30687
desi3	6.03	The DESI-III 2D-CAD system.	28108
devload	3.25	Commandline device driver loading program, supports UMBs	16605
dialog	1.1-20080819	Display dialog boxes in shell scripts	64823
dillo	3.0p9	A graphical web browser known for its speed and small footprint.	25025
diskcomp	06jun2003	Disk comparing utility	24727
diskcopy	beta 0.95	Copy one disk or image file to an other	49122
display	0.13b	FreeDOS driver for codepage management (screen or printer)	40849
djgpp	2.03	DJGPP environnement	14049
djgpp_bn	2.21.1	DJGPP binutils: linker, assembler, etc...	54150
djgpp_bs	2.4.1	DJGPP Bison (a parser generator that is compatible with YACC)	65079
djgpp_db	7.5	DJGPP Debugger (GDB)	13460
djgpp_fq	2.30	DJGPP FAQ documentation	24955
djgpp_fx	2.5.4	DJGPP Flex (fast lexical analyzer generator)	64699
djgpp_gc	4.71	DJGPP GCC (C compiler)	60998
djgpp_gp	4.71	DJGPP GPP (C++ compiler)	14179
djgpp_mk	3.79.1	DJGPP make	19250
djgpp_ob	4.71	DJGPP Objective-C compiler	4305
djgpp_rh	1.5	DJGPP RHIDE editor	6815
djgpp_tx	4.12	DJGPP Texinfo (info file viewer)	27211
dn2	2.14 beta	DOS Navigator 2 OpenSource is a file manager based on DOS Navigator (c) 1991-99 by RIT Research Labs.	33176
dog	0.8.3b	an alternative command.com shell, similar to FreeCOM, but different.	7459
dos32a	9.1.2	DOS/32A is a DOS extender.	45271
dosfsck	2.11c	checks the consistency of PC/MS-DOS file systems and optionally tries to repair them	7713
doshexed	1.2f	Hex editor and viewer	8808
dosidle	2.10	CPU cooling TSR	32872
doskey	2.8	command-line enhancement TSR with history, auto completion and more	21308
doslfn	0.41	Provides the long filename (LFN) API in plain DOS (without Windows)	38
dosmid	0.9.6	lightweight MIDI player for many synths (AWE,MPU401,OPL,GUS...)	22055
dosrifs	2.0	Drive sharing TSR between two PCs over serial link (drive mapping)	25414
doszip	2.52	DOSZIP is an opensource Norton Commander clone	54422
drhimem	2.34	HIMEM XMS and UMB memory manager from DR-DOS	32169
drmind	1.0	logic game, find secret pattern using deduction (Mastermind clone)	20134
du	1.0	displays disk usage, ala UNIX 'du'	19998
dualvga	0.9	use TWO color displays on a single PC (requires 2 PCI cards)	117
dwj	3.4.1	an MP3 jukebox program designed to run on MAME cabinets	21541
dwol	1.0	tiny Wake-On-LAN (WOL) tool for DOS	40808
e1000pkt	February 1, 2007	Packet driver for Intel(R) PRO/1000 adapters, f.i. 82544, 82540, 82545, 82541, and 82547 based Ethernet controllers.	1847
e3	2.7.1	a mini text editor that comes in both a 32 and 16bit version	57789
edit	0.9a	FreeDOS improved clone of MS-DOS Edit	40718
edlin	2.10c	The edlin program is the FreeDOS standard line editor.	35320
eidl	1.0	reduces power consumption by HALTing the CPU when DOS is idle	43807
electrom	2006	Electro Man is a 2d platform game. Spaceship, aliens, cyborgs and shooting.	25451
eliza	1.01	one of the earliest computer chatterbots AI	23167
elvis	2.2	a clone of vi/ex, the standard UNIX editor. Supports nearly all vi/ex commands	15655
empong	0.91	Emeritus Pong is a clone of the good old "Pong" game.	58939
etherdfs	0.8.2	Ethernet DOS file system (maps remote drive over raw Ethernet)	24028
ethtools	8feb2010	A set of diagnostic tools for ethernet networks. Built using the WatTCP stack. Includes ETHWHAT, WWWATCH, ETHSEND, ETHDUMP, ETHWATCH, ETHSHOW,	18473
euphoria	3.1.1	The Euphoria interpreter/compiler	34874
eval100	1.00	mathematical expression calculator, 80 bits double precision	3849
ewsnake	0.5	A clone of the classic snake game (aka 'nibbles').	38000
exe2bin	1.5	Convert an exe file to bin format	41791
fasm	1.71.57	fast but powerful 80x86 assembler	2816
fbc	1.05.0	FreeBASIC, a 32-bit BASIC Compiler	29845
fbc_help	1.05.0	Help system for the FreeBASIC compiler (FBHELP v0.8b)	55674
fc	3.03	File compare utility	43113
fceu	0.81	FCE Ultra is an open-source NES emulator	31484
fdapm	2009sep11	APM / ACPI control/info, energy saving TSR/control, cache flush, rebooting... {a replacement for MS-DOS POWER}	17924
fdisk	1.3.4	fixed disk tool, creates and deletes partitions	64187
fdxms	0.94	Replacement XMS driver for '386 systems or better	36611
fdxms286	0.03.Temperaments	Replacement XMS driver for '286 systems or better.	11692
fed	2.24	A folding text editor with color syntax highlighting and more	47535
find	3.0a LFN (24 Sep 2007)	Display all lines in one or more files that contain a given string	62817
fmines	1.00	A minesweeper-like game with some nice graphical themes.	15406
format	0.91v (14 Jan 2006)	Disk formatting program -- creates FAT file systems and lowlevel-formats floppy disks	49917
foxcalc	0.92	A nice calculator. It have a TUI and mouse support.	26605
foxtype	0.16	Advanced (graphic mode) text file viewer supporting UTF-8	51677
fpc	2.6.0	A self-hosting 32-/64-bit Pascal compiler supporting Turbo and Delphi dialects.	32176
freedoom	3.30	SMMU is a Doom source port derived from MBF and Boom. This version is packaged with FreeDoom for a complete gameplaying experience.	51840
frotz	2.43	An interpreter for Infocom games and other Z-machine games.	12034
ft2	2.08	FastTracker 2, a MOD/XM tracker for music composing	57499
ftetris	1.54	tetris clone with joypad support	39510
gcdrom	2.4	SATA native IDE CD/DVD-ROM driver for DOS	29077
gifsicle	1.70	manipulates GIF images and animations in a variety of ways.	20997
glaunch	0.9.8	Universal front end for emulators.	46331
gnubc	1.02	bc is an arbitrary precision numeric processing language. Syntax is similar to C, but differs in many substantial areas. It supports interactive execution of statements. bc is a utility included in the POSIX P1003.2/D11 draft standard.	59521
gnuchess	4.0 patch 60	GNU Chess is a communal chess program. Contributors donate their time and effort in order to make it a stronger, better, sleeker program.	61616
gopherus	1.2.1	text-based gopher browser	48108
grep	2.0	grep searches files (or standard input) for lines that match a given pattern. The pattern may be a regular expression or a literal string.	35862
gsplay	1.0	a standard MIDI file player.	44939
gzip	1.2.4	GNU zip compression - a file archiver tool, like PKZIP	51897
hangman	1.05	Multilingual hangman game with many dictionaries	61369
happylnd	1.1	A classic jump'n'run combined with original puzzle elements, a game full of surprises. Explore the big levels and collect various fruits for bonus. Save the Happylanders in order to rid the world of evilness.	28070
help	20220204	SvarDOS help (manual)	34924
hexcomp	1.0.4	graphically compares binary files	22317
himemx	3.34	HimemX is a XMS memory manager derived from FreeDOS Himem	56072
hip	2.1	Hide In Picture is a steganography program that hides files inside pictures	48213
hiram	1.9	Upper Memory (UMB) Extender for 80286, 80386, 80486 CPUs	2516
htget	1.06	HTGET is a file grabber that will get files from HTTP servers.	29224
ihpfs	1.29	Maps a HPFS (OS/2) partition as drive under plain DOS (read-only)	57647
infoplus	1.58 alpha	Public domain system information tool by Andrew Rossmann.	65432
insight	1.24	real-mode DOS 16-bit debugger	57543
ivan	0.50	A graphical roguelike game.	25445
